1107	7	282
1107	8	168
1107	9	720
1107	10	580
1108	1	490
1108	2	436
1108	3	318
1108	4	708
1108	5	228
1108	6	325
1108	7	299
1108	8	175
1108	9	792
1108	10	637
1109	1	163
1109	2	164
1109	3	137
1109	4	186
1109	5	86
1109	6	67
1109	7	69
1109	8	80
1109	9	198
1109	10	88
1110	9	186
1111	1	630
1111	2	421
1111	3	385
1111	4	818
1111	5	296
1111	6	322
1111	7	319
1111	8	220
1111	9	892
1111	10	838
1112	1	571
1112	2	513
1112	3	344
1112	4	863
1112	5	302
1112	6	346
1112	7	388
1112	8	229
1112	9	953
1112	10	756
1113	1	544
1113	2	414
1113	3	260
1113	4	685
1113	5	282
1113	6	314
1113	7	332
1113	8	213
1113	9	882
1113	10	666
1114	1	459
1114	2	395
1114	3	224
1114	4	589
1114	5	219
1114	6	289
1114	7	280
1114	8	162
1114	9	718
1114	10	636
1115	1	486
1115	2	347
1115	3	263
1115	4	627
1115	5	224
1115	6	315
1115	7	311
1115	8	163
1115	9	808
1115	10	677
1116	1	150
1116	2	104
1116	3	89
1116	4	163
1116	5	88
1116	6	63
1116	7	98
1116	8	63
1116	9	243
1116	10	139
1117	1	572
1117	2	375
1117	3	315
1117	4	730
1117	5	337
1117	6	316
1117	7	296
1117	8	264
1117	9	860
1117	10	797
1118	1	552
1118	2	501
1118	3	303
1118	4	849
1118	5	259
1118	6	379
1118	7	363
1118	8	302
1118	9	878
1118	10	728
1119	1	490
1119	2	319
1119	3	263
1119	4	706
1119	5	293
1119	6	341
1119	7	283
1119	8	207
1119	9	847
1119	10	678
1120	1	325
1120	2	281
1120	3	191
1120	4	558
1120	5	140
1120	6	314
1120	7	228
1120	8	153
1120	9	653
1120	10	634
1121	1	350
1121	2	324
1121	3	200
1121	4	613
1121	5	137
1121	6	296
1121	7	283
1121	8	117
1121	9	800
1121	10	690
1122	1	116
1122	2	79
1122	3	88
1122	4	159
1122	5	1
1122	6	114
1122	7	94
1122	8	37
1122	9	199
1122	10	213
1123	1	292
1123	2	321
1123	3	267
1123	4	774
1123	5	118
1123	6	344
1123	7	321
1123	8	712
1123	9	886
1123	10	770
1124	1	463
1124	2	413
1124	3	302
1124	4	653
1124	5	286
1124	6	291
1124	7	344
1124	8	384
1124	9	943
1124	10	733
1125	1	454
1125	2	380
1125	3	284
1125	4	595
1125	5	156
1125	6	273
1125	7	269
1125	8	272
1125	9	888
1125	10	637
1126	1	366
1126	2	263
1126	3	202
1126	4	474
1126	5	143
1126	6	233
1126	7	214
1126	8	230
1126	9	716
1126	10	535
1127	1	400
1127	2	276
1127	3	251
1127	4	522
1127	5	195
1127	6	257
1127	7	275
1127	8	229
1127	9	785
1127	10	552
1128	1	245
1128	2	196
1128	3	123
1128	4	246
1128	5	24
1128	6	91
1128	7	174
1128	8	169
1128	9	476
1129	1	516
1129	2	256
1129	3	341
