sample_840,0.89
sample_93,0.901
sample_864,0.896
sample_1488,0.892
sample_744,0.943
sample_40,0.968
sample_1149,0.911
sample_1321,0.967
sample_990,0.894
sample_1235,0.935
sample_655,0.971
sample_1906,0.94
sample_1092,0.941
sample_1918,0.911
sample_1323,0.938
sample_611,0.942
sample_1331,0.937
sample_1769,0.936
sample_1739,0.983
sample_566,0.915
sample_1650,0.905
sample_1530,0.888
sample_234,0.919
sample_1854,0.919
sample_1295,0.974
sample_749,0.9
sample_183,0.971
sample_1592,0.94
sample_142,0.921
sample_1127,0.917
sample_1855,0.963
sample_327,0.894
sample_7,0.894
sample_1019,0.9
sample_1494,0.892
sample_1276,0.961
sample_290,0.896
sample_1796,0.926
sample_1833,0.932
sample_712,0.926
sample_1892,0.906
sample_62,0.9
sample_1075,0.938
sample_1804,0.929
sample_1628,0.948
sample_1404,0.89
sample_980,0.891
sample_1257,0.928
sample_1197,0.937
sample_747,0.913
sample_197,0.916
sample_690,0.927
sample_1839,0.924
sample_961,0.893
sample_134,0.966
sample_709,0.925
sample_1311,0.936
sample_1919,0.939
sample_1813,0.929
sample_1399,0.958
sample_1888,0.944
sample_894,0.896
sample_1051,0.904
sample_1286,0.947
sample_1327,0.982
sample_1651,0.902
sample_1337,0.935
sample_1626,0.913
sample_143,0.921
sample_1391,0.928
sample_81,0.942
sample_279,0.936
sample_1455,0.891
sample_380,0.966
sample_1405,0.89
sample_1848,0.921
sample_967,0.895
sample_1618,0.903
sample_1176,0.935
sample_579,0.953
sample_261,0.936
sample_1452,0.891
sample_19,0.925
sample_78,0.946
sample_1450,0.893
sample_1198,0.942
sample_56,0.9
sample_428,0.896
sample_1709,0.908
sample_109,0.902
sample_1267,0.968
sample_530,0.904
sample_564,0.961
sample_1249,0.969
sample_207,0.921
sample_1179,0.937
sample_1221,0.939
sample_260,0.968
sample_741,0.944
sample_1984,0.929
sample_460,0.897
sample_67,0.902
sample_255,0.934
sample_406,0.936
sample_610,0.947
sample_1782,0.968
sample_1968,0.922
sample_971,0.931
sample_1838,0.921
sample_426,0.894
sample_1422,0.89
sample_479,0.896
sample_191,0.919
sample_480,0.897
sample_1236,0.935
sample_1352,0.929
sample_1201,0.937
sample_1643,0.95
sample_941,0.894
sample_1459,0.845
sample_796,0.938
sample_1729,0.928
sample_533,0.898
sample_794,0.933
sample_1022,0.893
sample_46,0.975
sample_1166,0.892
sample_211,0.917
sample_1986,0.921
sample_447,0.896
sample_826,0.936
sample_1028,0.898
sample_119,0.904
sample_901,0.898
sample_216,0.965
sample_531,0.937
sample_675,0.927
sample_1300,0.974
sample_620,0.969
sample_1094,0.965
sample_1239,0.935
sample_841,0.881
sample_28,0.93
sample_1953,0.929
sample_517,0.94
sample_1218,0.936
sample_1128,0.915
sample_1109,0.918
sample_580,0.915
