User_id,Merchant_id,Coupon_id,Discount_rate,Distance,Date_received,Date,label,Dis_type,Dis_rate,Dis_man,Dis_jian,weekday,day_type,u_nocoupon_count,u_withcoupon_out15day_count,u_withcoupon_in15day_count,m_nocoupon_count,m_withcoupon_out15day_count,m_withcoupon_in15day_count
1439408,2632,8591.0,20:1,0.0,2016-06-13,,0.0,1.0,0.95,20.0,1.0,1.0,0.0,2.0,2.0,,,,
2747744,6901,1097.0,50:10,-1.0,2016-06-06,,0.0,1.0,0.8,50.0,10.0,1.0,0.0,,,,,,
196342,1579,10698.0,20:1,1.0,2016-06-06,,0.0,1.0,0.95,20.0,1.0,1.0,0.0,1.0,,,,,
4064096,4666,6604.0,100:10,0.0,2016-06-02,,0.0,1.0,0.9,100.0,10.0,4.0,0.0,1.0,,,,,
114747,6901,1097.0,50:10,0.0,2016-06-05,,0.0,1.0,0.8,50.0,10.0,7.0,1.0,19.0,,1.0,,,
114747,760,2418.0,30:5,0.0,2016-06-07,,0.0,1.0,0.8333333333333334,30.0,5.0,2.0,0.0,19.0,,1.0,,,
114747,6901,2107.0,30:5,0.0,2016-06-05,,0.0,1.0,0.8333333333333334,30.0,5.0,7.0,1.0,19.0,,1.0,,,
245878,760,2418.0,30:5,0.0,2016-06-01,,0.0,1.0,0.8333333333333334,30.0,5.0,3.0,0.0,,,,,,
1314224,760,2418.0,30:5,2.0,2016-06-11,,0.0,1.0,0.8333333333333334,30.0,5.0,6.0,1.0,,,,,,
5525184,760,2418.0,30:5,0.0,2016-06-02,,0.0,1.0,0.8333333333333334,30.0,5.0,4.0,0.0,2.0,,,,,
5264064,760,2418.0,30:5,0.0,2016-06-13,,0.0,1.0,0.8333333333333334,30.0,5.0,1.0,0.0,1.0,,,,,
7101120,450,1613.0,30:5,0.0,2016-06-09,,0.0,1.0,0.8333333333333334,30.0,5.0,4.0,0.0,2.0,,,,,
6317760,760,2418.0,30:5,2.0,2016-06-01,,0.0,1.0,0.8333333333333334,30.0,5.0,3.0,0.0,,,,,,
7104192,2461,6499.0,50:5,0.0,2016-06-10,,0.0,1.0,0.9,50.0,5.0,5.0,0.0,1.0,,,,,
181078,3621,4823.0,20:5,1.0,2016-06-06,,0.0,1.0,0.75,20.0,5.0,1.0,0.0,3.0,1.0,,,,
4483776,2664,7752.0,100:5,9.0,2016-06-01,,0.0,1.0,0.95,100.0,5.0,3.0,0.0,,,,,,
140278,450,1613.0,30:5,4.0,2016-06-05,,0.0,1.0,0.8333333333333334,30.0,5.0,7.0,1.0,,,,,,
2506592,4666,6604.0,100:10,9.0,2016-06-02,,0.0,1.0,0.9,100.0,10.0,4.0,0.0,3.0,,,,,
3031904,2712,12515.0,20:1,10.0,2016-06-07,,0.0,1.0,0.95,20.0,1.0,2.0,0.0,1.0,,,,,
90699,760,2418.0,30:5,0.0,2016-06-13,,0.0,1.0,0.8333333333333334,30.0,5.0,1.0,0.0,,1.0,,,,
2116448,760,2418.0,30:5,0.0,2016-06-15,,0.0,1.0,0.8333333333333334,30.0,5.0,3.0,0.0,1.0,,,,,
78459,2206,9599.0,20:5,0.0,2016-06-02,,0.0,1.0,0.75,20.0,5.0,4.0,0.0,,,,,,
379372,5152,9545.0,20:1,1.0,2016-06-14,,0.0,1.0,0.95,20.0,1.0,2.0,0.0,2.0,1.0,,,,
1976240,450,1613.0,30:5,8.0,2016-06-01,,0.0,1.0,0.8333333333333334,30.0,5.0,3.0,0.0,2.0,1.0,1.0,,,
1976240,4225,6478.0,50:5,3.0,2016-06-08,,0.0,1.0,0.9,50.0,5.0,3.0,0.0,2.0,1.0,1.0,,,
3821408,760,2418.0,30:5,-1.0,2016-06-03,,0.0,1.0,0.8333333333333334,30.0,5.0,5.0,0.0,,1.0,1.0,,,
111243,1180,4513.0,50:5,3.0,2016-06-11,,0.0,1.0,0.9,50.0,5.0,6.0,1.0,1.0,,,,,
111243,760,2418.0,30:5,0.0,2016-06-03,,0.0,1.0,0.8333333333333334,30.0,5.0,5.0,0.0,1.0,,,,,
165334,6189,12807.0,30:1,0.0,2016-06-10,2016-06-10,1.0,1.0,0.9666666666666667,30.0,1.0,5.0,0.0,10.0,1.0,,,,
